BOOK_ID,TITLE,RATING,PRICE,AVAILABILITY
1,A Light in the Attic,3,51.77,1
2,Tipping the Velvet,1,53.74,1
3,Soumission,1,50.1,1
4,Sharp Objects,4,47.82,1
5,Sapiens: A Brief History of Humankind,5,54.23,1
6,The Requiem Red,1,22.65,1
7,The Dirty Little Secrets of Getting Your Dream Job,4,33.34,1
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,1
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6,1
10,The Black Maria,1,52.15,1
11,"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99,1
12,Shakespeare's Sonnets,4,20.66,1
13,Set Me Free,5,17.46,1
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,1
15,Rip it Up and Start Again,5,35.02,1
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,1
17,Olio,1,23.88,1
18,Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,1
19,Libertarianism for Beginners,2,51.33,1
20,It's Only the Himalayas,2,45.17,1
21,In Her Wake,1,12.84,1
22,How Music Works,2,37.32,1
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52,1
24,Chase Me (Paris Nights #2),5,25.27,1
25,Black Dust,5,34.53,1
26,Birdsong: A Story in Pictures,3,54.64,1
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5,1
28,Aladdin and His Wonderful Lamp,3,53.13,1
29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,40.3,1
30,Wall and Piece,4,44.18,1
31,The Four Agreements: A Practical Guide to Personal Freedom,5,17.66,1
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05,1
33,The Elephant Tree,5,23.82,1
34,The Bear and the Piano,1,36.89,1
35,Sophie's World,5,15.94,1
36,Penny Maybe,3,33.29,1
37,Maude (1883-1993):She Grew Up with the country,2,18.02,1
38,"In a Dark, Dark Wood",1,19.63,1
39,Behind Closed Doors,4,52.22,1
40,You can't bury them all: Poems,2,33.63,1
41,Slow States of Collapse: Poems,3,57.31,1
42,Reasons to Stay Alive,2,26.41,1
43,Private Paris (Private #10),5,47.61,1
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11,1
45,Without Borders (Wanderlove #1),2,45.07,1
46,When We Collided,1,31.77,1
47,"We Love You, Charlie Freeman",5,50.27,1
48,Untitled Collection: Sabbath Poems 2014,4,14.27,1
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18,1
50,Unicorn Tracks,3,18.78,1
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52,1
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,1
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12,1
54,This One Summer,4,19.49,1
55,Thirst,5,17.27,1
56,The Torch Is Passed: A Harding Family Story,1,19.09,1
57,The Secret of Dreadwillow Carse,1,56.13,1
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,56.41,1
59,The Past Never Ends,4,56.5,1
60,The Natural History of Us (The Fine Art of Pretending #2),3,45.22,1
61,The Nameless City (The Nameless City #1),4,38.16,1
62,The Murder That Never Was (Forensic Instincts #5),3,54.11,1
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,42.96,1
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,23.89,1
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,16.77,1
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59,1
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,37.13,1
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,1,56.06,1
69,The Death of Humanity: and the Case for Life,4,58.11,1
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,49.05,1
71,The Art Forger,3,40.76,1
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,19.73,1
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24,1
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,41.83,1
75,Soul Reader,2,39.58,1
76,Security,2,39.25,1
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",3,25.02,1
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04,1
79,Reskilling America: Learning to Labor in the Twenty-First Century,2,19.83,1
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,50.4,1
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61,1
82,Princess Between Worlds (Wide-Awake Princess #5),5,13.34,1
83,"Pop Gun War, Volume 1: Gift",1,18.97,1
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,36.28,1
85,Patience,3,10.16,1
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44,1
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),1,48.41,1
88,Online Marketing for Busy Authors: A Step-By-Step Guide,1,46.35,1
89,On a Midnight Clear,3,14.07,1
90,Obsidian (Lux #1),2,14.86,1
91,My Paris Kitchen: Recipes and Stories,2,33.37,1
92,Masks and Shadows,2,56.4,1
